,atomic_number,atomic_element_symbol,atomic_method,atomic_basis_set,atomic_hfomo,atomic_hpomo,atomic_lfumo,atomic_lpumo,atomic_ea_by_energy_difference,atomic_ip_by_energy_difference,atomic_ea_by_half_charged_homo,atomic_ip_by_half_charged_homo,r_s,r_p,r_d,r_valence
27,28,Ni,pbesol,NAO/really_tight,-7.08008257438003E-19,-7.00553329621421E-19,8.49377913750912E-20,-7.00553329621421E-19,-1.70614400864923E-19,1.26228122255289E-18,-1.99052821191571E-19,1.20031387424108E-18,1.25305,1.56615,0.33775,0.33775
28,29,Cu,pbesol,NAO/really_tight,-7.33050278021107E-19,-7.33050278021107E-19,2.20148680757645E-19,2.20148680757645E-19,-1.97819364691542E-19,1.33509012515065E-18,-2.13816878752243E-19,1.32561369904737E-18,1.19885,1.24915,0.31905,1.19885
29,30,Zn,pbesol,NAO/really_tight,-9.57787592620723E-19,-9.57787592620723E-19,-1.11944080495296E-19,-1.11944080495296E-19,3.30917769780155E-19,1.59277551942979E-18,3.36048535329696E-19,1.5878723879295E-18,1.10495,0.97445,0.29975,1.10495
30,31,Ga,pbesol,NAO/really_tight,-1.41585629721393E-18,-3.89167099015699E-19,8.26620597029069E-19,-3.89167099015699E-19,7.21317891109249E-20,9.08867121009977E-19,7.86332263722432E-20,8.96784717783763E-19,1.00335,1.33975,0.28235,1.33975
31,32,Ge,pbesol,NAO/really_tight,-1.86955586616221E-18,-6.12744437741856E-19,5.88030863366016E-19,-6.12744437741856E-19,-9.13965081996101E-20,1.1934528732946E-18,-8.5452090070368E-20,1.18304881897534E-18,0.92235,1.17105,0.26665,1.17105
32,33,As,pbesol,NAO/really_tight,-8.27328759095463E-19,-8.27328759095463E-19,8.0995956234937E-19,8.0995956234937E-19,-2.47324180556972E-19,1.46703173468397E-18,-2.41806904317619E-19,1.45802558587338E-18,0.85585,1.04985,0.252450000000001,1.04985
33,34,Se,pbesol,NAO/really_tight,-1.04078995463789E-18,-1.04078995463789E-18,8.55837889885978E-19,8.55837889885978E-19,-4.03099674976686E-19,1.73759698195657E-18,-3.98472540829306E-19,1.72967783628326E-18,0.799750000000001,0.95725,0.23965,0.95735
34,35,Br,pbesol,NAO/really_tight,-1.25752599919323E-18,-1.25752599919323E-18,9.35244967566067E-19,9.35244967566067E-19,-5.61655085221286E-19,2.00959946337055E-18,-5.5910036012423E-19,2.00303480261768E-18,0.75155,0.88305,0.22815,0.88305
35,36,Kr,pbesol,NAO/really_tight,-1.47885067759054E-18,-1.47885067759054E-18,6.84321678276096E-19,6.84321678276096E-19,1.1480088702076E-18,2.28860992780792E-18,1.16913071067045E-18,2.28270274266142E-18,0.709350000000001,0.82165,0.21765,0.82165
36,37,Rb,pbesol,NAO/really_tight,-3.4546933386E-19,-3.4546933386E-19,-1.0742594242464E-20,-1.0742594242464E-20,-5.09571072631292E-20,6.51173925731099E-19,-5.07425357573568E-20,6.49049759969184E-19,2.31695,,,2.31695
37,38,Sr,pbesol,NAO/really_tight,-5.63730650558342E-19,-5.63730650558342E-19,-1.76143297690752E-19,-1.76143297690752E-19,1.54185218766757E-19,9.4161248529137E-19,1.56929995654118E-19,9.40530548238086E-19,1.95395,2.26585,1.05555,1.95395
38,39,Y,pbesol,NAO/really_tight,-6.26169075647539E-19,-3.66414588823718E-19,-8.84289342318144E-20,-3.66414588823718E-19,1.66380772514151E-19,9.92303333235142E-19,1.76875492406458E-19,9.75159993720058E-19,1.78595,,0.94535,0.94535
39,40,Zr,pbesol,NAO/really_tight,-6.92414272387757E-19,-5.53529592013709E-19,-6.12255773872512E-20,-5.53529592013709E-19,3.36306309517185E-20,1.13882661174308E-18,4.31594338111104E-20,1.18067439322332E-18,1.66825,1.75605,0.84555,0.84555
40,41,Nb,pbesol,NAO/really_tight,-7.33865785921094E-19,-7.19819503486541E-19,-9.69525138544704E-20,-7.19819503486541E-19,-1.05861288780867E-19,1.14799418786375E-18,-9.6346891091808E-20,1.14789546173837E-18,1.57605,1.73145,0.77355,0.77355
41,42,Mo,pbesol,NAO/really_tight,-6.85601817396115E-19,-6.82802814839578E-19,-1.06416571153536E-20,-6.82802814839578E-19,-1.83408495752805E-19,1.12269009925587E-18,-2.1747625015415E-19,1.10102538687349E-18,1.53775,1.66135,0.72745,0.72745
42,43,Tc,pbesol,NAO/really_tight,-6.33026391584563E-19,-6.29541657434323E-19,8.41158747686208E-20,-6.29541657434323E-19,-1.9240729697922E-19,1.15022957672839E-18,-2.02793903601139E-19,1.09131619655144E-18,1.50655,1.60085,0.68555,0.68555
43,44,Ru,pbesol,NAO/really_tight,-5.8145072398439E-19,-5.7127530026569E-19,1.81616333027405E-19,-5.7127530026569E-19,-1.48329639724185E-19,1.22940358577625E-18,-1.49180267339309E-19,1.21300791960768E-18,1.47575,1.54745,0.64735,0.64735
44,45,Rh,pbesol,NAO/really_tight,-5.63493528418464E-19,-5.63493528418464E-19,-5.25686966697447E-19,-5.25686966697447E-19,-8.81315061673034E-20,1.34249099552006E-18,-8.66200768269312E-20,1.3336037538553E-18,1.44625,1.50005,0.612950000000001,0.612950000000001
45,46,Pd,pbesol,NAO/really_tight,-6.56315630944512E-19,-6.56315630944512E-19,-5.40236332590931E-19,-5.40236332590931E-19,-7.21006556187837E-20,1.45199715601492E-18,-6.6177905322144E-20,1.43825472637271E-18,1.40755,1.45745,0.58065,0.58075
46,47,Ag,pbesol,NAO/really_tight,-7.01511431240659E-19,-7.01511431240659E-19,1.58285437075315E-19,1.58285437075315E-19,-1.89386344900382E-19,1.26166326783425E-18,-1.8611364280199E-19,1.25376569066421E-18,1.31705,1.41785,0.54885,1.31705
47,48,Cd,pbesol,NAO/really_tight,-9.08358841692422E-19,-9.08358841692422E-19,-1.28507382401126E-19,-1.28507382401126E-19,2.84794520710203E-19,1.49277017979505E-18,2.89982753128454E-19,1.489546808711E-18,1.23185,,0.51935,1.23185
48,49,In,pbesol,NAO/really_tight,-1.29880127329828E-18,-3.75503736793517E-19,5.5116798367465E-19,-3.75503736793517E-19,5.91061380466433E-20,8.54542449978699E-19,6.44363393353344E-20,8.4440796187319E-19,1.14095,1.50705,0.49305,1.50705
49,50,Sn,pbesol,NAO/really_tight,-1.68047018572863E-18,-5.77318710479347E-19,7.39500641096448E-19,-5.77318710479347E-19,-1.00049024585454E-19,1.10162926326906E-18,-9.49562017849536E-20,1.09349035022586E-18,1.06585,1.35395,0.46955,1.35395
50,51,Sb,pbesol,NAO/really_tight,-7.66912280901715E-19,-7.66912280901715E-19,8.01460015376026E-19,8.01460015376026E-19,-2.3740213626832E-19,1.33581424489613E-18,-2.33973862818528E-19,1.32951179476577E-18,1.00325,1.23865,0.448350000000001,1.23855
51,52,Te,pbesol,NAO/really_tight,-9.50907846211008E-19,-9.50907846211008E-19,7.87232686983322E-19,7.87232686983322E-19,-3.83306897702346E-19,1.56164864993839E-18,-3.80230157824877E-19,1.55606437547676E-18,0.94935,1.14835,0.429350000000001,1.14835
52,53,I,pbesol,NAO/really_tight,-1.13440673676785E-18,-1.13440673676785E-18,7.8342431315568E-19,7.8342431315568E-19,-5.26590498182872E-19,1.78392519748333E-18,-5.25520340328883E-19,1.77942702253573E-18,0.90215,1.07435,0.41195,1.07425
53,54,Xe,pbesol,NAO/really_tight,-1.31853047620681E-18,-1.31853047620681E-18,2.32682508462163E-19,2.32682508462163E-19,6.1750040291155E-19,2.01266027920679E-18,6.17682346087162E-19,2.0089372212887E-18,0.86035,1.01185,0.396150000000001,1.01185
54,55,Cs,pbesol,NAO/really_tight,-3.19352252764339E-19,-3.19352252764339E-19,-1.96074374853504E-20,-1.96074374853504E-20,-4.55396434235163E-20,6.04766479361091E-19,-4.59151775988864E-20,6.01215174778579E-19,2.53205,,,2.53205
55,56,Ba,pbesol,NAO/really_tight,-5.14992437753606E-19,-5.14992437753606E-19,-3.03891248373619E-19,-3.03891248373619E-19,1.75318481152446E-19,8.59168478635921E-19,1.82479906226016E-19,8.58712194743693E-19,2.19055,,,2.19055
56,57,La,pbesol,NAO/really_tight,-5.27442952273843E-19,-3.95063108980243E-19,8.74580151996096E-20,-3.98825019685882E-19,8.89003586790479E-20,9.09835407668603E-19,1.02409527424915E-19,9.15333116522765E-19,2.04665,,,1.19845
57,58,Ce,pbesol,NAO/really_tight,-5.61699090603168E-19,-3.90873417116851E-19,2.53754335378925E-19,-3.93050775144518E-19,9.99136566820516E-20,9.24859338266333E-19,1.06737006477696E-19,9.8291452856473E-19,2.02455,,,0.38005
58,59,Pr,pbesol,NAO/really_tight,-5.17881162200909E-19,-3.05187409259846E-19,1.28398434390912E-20,-3.12329912635373E-19,1.72691440200152E-19,8.96053051782166E-19,1.80219235014067E-19,9.3581053591321E-19,2.01575,,,0.36425
59,60,Nd,pbesol,NAO/really_tight,-5.1564131928503E-19,-2.6361893683319E-19,6.67578932588736E-20,-2.74935110305901E-19,2.20781876979044E-19,9.09525674882668E-19,2.28675464733542E-19,9.41301195192691E-19,1.99755,,,0.35025
60,61,Pm,pbesol,NAO/really_tight,-5.20899662954496E-19,-2.99714373923194E-19,-2.38474376946355E-19,-2.99714373923194E-19,2.46834662730933E-19,9.20015878241233E-19,2.56226493904819E-19,9.38667216828096E-19,1.97445,,,0.33685
61,62,Sm,pbesol,NAO/really_tight,-5.29932734742567E-19,-3.5404097878128E-19,-2.21222139093581E-19,-3.5404097878128E-19,2.71456448407823E-19,9.31348938658207E-19,2.89627069918637E-19,9.43095633007987E-19,1.94465,,,0.32455
